ticker,timestamp,direction,score,filters_passed,filter_failures,entry_price,stop_loss,target1,target2,risk_reward,atr_pct,weekly_trend,daily_trend,structure_event,adx,rsi,volume_ratio
MSFT,2026-02-27 00:00:00,LONG,80.0,True,[],342.7188665250834,333.136908048579,358.6887973192574,374.65872811343144,1.6666666666666687,2.3298878985124656,,,TF,27.493153376186044,74.74097541040096,
GOOGL,2026-02-27 00:00:00,LONG,80.0,True,[],102.76955153651764,100.13970672861436,107.15262621635645,111.53570089619527,1.6666666666666703,2.132477282573988,,,TF,33.82025235720414,71.86863506013675,
ORCL,2026-02-27 00:00:00,LONG,80.0,True,[],462.2005257564119,449.69624216332375,483.04099841155875,503.88147106670556,1.6666666666666652,2.254483875915164,,,TF,20.86576525498951,75.41870435404658,
WFC,2026-02-27 00:00:00,LONG,80.0,True,[],170.47903160260694,165.97759031933572,177.98143374139232,185.4838358801777,1.666666666666671,2.2003885370119214,,,TF,18.45286930279155,65.50894432425635,
SCHW,2026-02-27 00:00:00,LONG,80.0,True,[],83.26638670906168,80.83998193302595,87.31039466912122,91.35440262918078,1.6666666666666685,2.428355618570062,,,TF,14.528206101738501,54.184610872891156,
PNC,2026-02-27 00:00:00,LONG,80.0,True,[],392.68985342453607,382.1117779166034,410.3199792710906,427.950105117645,1.6666666666666703,2.2447900923345983,,,TF,36.52888117836725,71.1203358968837,
ABBV,2026-02-27 00:00:00,LONG,80.0,True,[],423.4595212260838,412.6018185810119,441.5556923012036,459.65186337632343,1.6666666666666685,2.13670612750945,,,TF,21.475087913446544,75.61072912607823,
ABT,2026-02-27 00:00:00,LONG,80.0,True,[],371.1646485202105,360.85842714732996,388.3416841416781,405.51871976314567,1.6666666666666703,2.313937452010905,,,TF,36.47795921136285,74.83642474314885,
CAT,2026-02-27 00:00:00,LONG,80.0,True,[],175.43183254095857,169.98405810109213,184.5114566074026,193.59108067384665,1.6666666666666632,2.5877926300303,,,TF,13.546683333084111,53.60160477226261,
UPS,2026-02-27 00:00:00,LONG,80.0,True,[],127.69998500665054,124.19119709228447,133.5479648639273,139.39594472120407,1.6666666666666599,2.289733963935943,,,TF,15.675044418910069,61.52952742624724,
MMM,2026-02-27 00:00:00,LONG,80.0,True,[],143.25276323023274,139.53973120341044,149.44114994160324,155.62953665297377,1.666666666666664,2.1599536971669666,,,TF,14.91873090793293,60.52311846449007,
SBUX,2026-02-27 00:00:00,LONG,80.0,True,[],442.8490248654086,430.36589923592595,463.6542342478796,484.4594436303506,1.666666666666662,2.3490183125947,,,TF,39.07191630899656,78.13493057778285,
ROST,2026-02-27 00:00:00,LONG,80.0,True,[],204.68766753107155,199.4191262635681,213.4685696435773,222.249471756083,1.666666666666665,2.1449514322040906,,,TF,30.40180674484462,49.041943568735,
XOM,2026-02-27 00:00:00,LONG,80.0,True,[],370.67868690370096,360.5854585406895,387.5007341753868,404.3227814470726,1.666666666666674,2.26908746928523,,,TF,31.17957174900826,68.13224890132625,
COP,2026-02-27 00:00:00,LONG,80.0,True,[],118.70419154613835,115.34195578158659,124.30791782039127,129.91164409464417,1.6666666666666652,2.360374221526474,,,TF,21.52247031808998,70.57260252488523,
EOG,2026-02-27 00:00:00,LONG,80.0,True,[],255.93514059297937,248.5943769362645,268.1697466875042,280.404352782029,1.6666666666666718,2.3901770710693113,,,TF,20.568872921294567,57.93004876423218,
PSX,2026-02-27 00:00:00,LONG,80.0,True,[],451.5367353267329,437.6751387527656,474.63939628334515,497.7420572399574,1.6666666666666654,2.558226069900502,,,TF,16.116475579984208,59.95949156443459,
